Ref,Comment,LCSC,Note
R1,1kΩ ±1%,C21190,UNI-ROYAL 0603WAF1001T5E Basic (sub for RC0603FR-071KL)
R2,1kΩ ±1%,C21190,
R3,330Ω ±1%,C23138,UNI-ROYAL 0603WAF3300T5E Basic
R5,4.7kΩ ±1%,C23162,UNI-ROYAL 0603WAF4701T5E Basic
R6,4.7kΩ ±1%,C23162,
R7,4.7kΩ ±1%,C23162,
R8,4.7kΩ ±1%,C23162,
R9,10kΩ ±1%,C25804,UNI-ROYAL 0603WAF1002T5E Basic
R12,10kΩ ±1%,C25804,
R13,10kΩ ±1%,C25804,
R14,10kΩ ±1%,C25804,
R15,10kΩ ±1%,C25804,
R16,10kΩ ±1%,C25804,
R17,10kΩ ±1%,C25804,
R18,10kΩ ±1%,C25804,
R19,10kΩ ±1%,C25804,
R20,10kΩ ±1%,C25804,
R21,10kΩ ±1%,C25804,
R22,10kΩ ±1%,C25804,
R23,10kΩ ±1%,C25804,
R25,10kΩ ±1%,C25804,
R28,10kΩ ±1%,C25804,
R29,10kΩ ±1%,C25804,
R30,10kΩ ±1%,C25804,
R24,47kΩ ±1%,C25819,UNI-ROYAL 0603WAF4702T5E Basic
R33,47kΩ ±1%,C25819,
C1,220uF 25V,C128511,Panasonic EEEFK1E221P 8x10.2 SMD (exact)
C2,470uF 10V,C178530,Panasonic EEEFK1A471P 8x10.2 SMD (exact)
C3,1000uF 10V,C278397,Panasonic EEEFK1A102P 10x10.2 SMD (exact)
C4,470uF 16V,C79121,Panasonic EEEFK1C471P 8x10.2 SMD (exact)
C7,1000uF 25V,C401766,Panasonic EEEFT1E102UP 10x10.2 SMD (FT series sub for FP)
C5,10uF 50V X5R,C13585,Samsung CL31A106KBHNNNE 1206 Basic (sub for GRM31CR71E106KA12L)
C6,10uF 50V X5R,C13585,
C8,100nF 50V X7R,C14663,YAGEO CC0603KRX7R9BB104 Basic
C9,100nF 50V X7R,C14663,
C10,100nF 50V X7R,C14663,
C11,100nF 50V X7R,C14663,
C12,100nF 50V X7R,C14663,
C28,100nF 50V X7R,C14663,
C29,100nF 50V X7R,C14663,
C26,1uF 50V X5R,C15849,Samsung CL10A105KB8NNNC 0603 Basic (sub for CL10B105KO8NNNC)
C27,1uF 50V X5R,C15849,
D1,SMBJ15A,C83846,TVS SMB (exact)
D2,SS14,C2480,Schottky SMA Basic (exact)
D4,BAT54S,C47546,Nexperia BAT54S,215 SOT-23 (exact)
D6,BZT52C12,C173429,12V zener SOD-123 (exact)
Q1,SI7461DP-T1-GE3,C553968,Vishay PowerPAK SO-8 (exact)
U5,AMS1117-3.3,C6186,SOT-223 pinout GND/OUT(tab)/IN = as routed. Alt: AP7361C-33ER-13 C3743528 (SOT-223R reversed pinout also fits). Do NOT use AP7361C-33E-13 - pinout is IN/GND/OUT.
U6,SN74AHCT125PWR,C36365,TI TSSOP-14 (sub for 74AHCT125PW - same part function/pinout)
U7,74LVC245APW,C6082,Nexperia 74LVC245APW,118 TSSOP-20 (exact)
F3,1812L300,C127824,Littelfuse 1812L300MR 3A polyfuse 1812 (sub for MF-MSMF300)
F4,3A 1206 fuse,C14165,Littelfuse 0466003.NRHF (exact, HF suffix)
L1,600Ω 2.9A,C668306,Murata BLM31KN601SN1L 1206 (upgrade from PG 1.5A part)
F1,Keystone 3568,C5249699,Mini ATM blade fuse holder THT 9.9mm pitch - customer may fit
J1,XT60PB-M,C19268037,Amass XT60 VERTICAL PCB male THT (alt JLC library C9900017179)
J2,2.54mm 2x5,C225520,A2541WV-2x5P straight unshrouded THT
J3,2.54mm 2x5,C225520,
J_AMP,2.54mm 2x7,C5298387,A2541WV-2x7P straight unshrouded THT
J4,2.54mm 1x3,C49257,1x3 straight THT
J5,2.54mm 1x3,C49257,
J6,B4B-XH-A,C144395,JST XH 4P THT (exact)
J8,B4B-XH-A,C144395,
J7,B5B-XH-A,C157991,JST XH 5P THT (exact)
J9,B3B-XH-A,C144394,JST XH 3P THT (exact)
J10,B3B-XH-A,C144394,
J11,B2B-XH-A,C158012,JST XH 2P THT (exact)
J15,B2B-XH-A,C158012,
J13,B2P-VH,C160315,JST VH 2P 3.96mm THT (exact)
J14,B2P-VH,C160315,
J17,SM04B-SRSS-TB,C160404,JST SH 4P 1.0mm horizontal SMD (exact)
J_U1A,B-2200S15P-A120,C124408,Ckmtw female header 1x15 2.54mm 8.5mm - ESP32 DevKitC socket (customer fits the module)
J_U1B,B-2200S15P-A120,C124408,
J_U2A,B-2200S09P-A120,C124417,Ckmtw female header 1x9 (300 in stock; fallback: cut a 1x15 C124408 at position 10)
J_U2B,B-2200S09P-A120,C124417,
J_U2C,2.54-1*5P female,C50950,BOOMELE female header 1x5 2.54mm 8.5mm (alt Ckmtw B-2200S05P-A120 C124414)
