Ref,Qty,Value / Part,MPN,Package,Supplier,Notes
U1,1,ESP-WROOM-32 DevKit (ELEGOO) - CUSTOMER FITS into J_U1A/J_U1B,ESP32-DevKit-V1 30-pin,plugs into 2x 1x15 sockets,Amazon B0D8T53CQ5,Drive MCU; 30-pin ONLY (38-pin is wider); antenna end toward H3
U2,1,Waveshare RP2350-Zero - CUSTOMER FITS into J_U2A/B/C,RP2350-Zero,plugs into 2x 1x9 + 1x5 sockets,Amazon B0DYTVCF2H,Body co-processor
U3,1,DFPlayer Mini,DFR0299,2x8 0.1in,DFRobot / AliExpress,SD MP3 source; socket
(module),1,MAX9744 class-D amp MODULE - CUSTOMER FITS on J_AMP,Adafruit 1752 (MAX9744 20W stereo I2C),plugs into J_AMP 2x7 harness,Adafruit / Digi-Key,2x20W I2C volume at 0x4B; rev A uses the module - the on-board TQFN (U4) is deferred to rev B
U5,1,3.3V 1A LDO,AMS1117-3.3,SOT-223,LCSC C6186,Pinout GND/OUT(tab)/IN as routed. Alt AP7361C-33ER-13 (SOT-223R, C3743528). NOT AP7361C-33E-13 (IN/GND/OUT - wrong for this board)
U6,1,NeoPixel level shifter,74AHCT125PW,TSSOP-14,Digi-Key,3.3->5V WS2812 data
U7,1,Encoder level shifter,74LVC245APW,TSSOP-20,Digi-Key,5V encoder A/B (A1/A2) -> 3.3V (B1/B2); DIR (pin 1) = +3V3 for A->B (r7 gerbers; on r6 boards cut the GND spoke into pin 1 and bridge pin 1 to pin 20); unused A3-A8 tied to GND
PS1,1,5V 5A buck module,Pololu D24V50F5,Pololu 5-pin row EN VIN GND GND OUT,Pololu 2851,+5V_LOGIC and +5V_LED
PS2,1,6V 2.5A buck module,Pololu D24V25F6,Pololu 5-pin row EN VIN GND GND OUT,Pololu 2852,+6V_SERVO: 6.0 V suits BOTH Hitec HS-805BB (4.8-6V) and JX PDI-HV2060MG (6-8.4V)
Q1,1,P-FET reverse polarity (high-side RPP),SI7461DP-T1-GE3,PowerPAK SO-8,Digi-Key,"-60V 14.5mOhm -14A; pads 1-3 S=VIN, 4 G, 5 tab D=BAT_F"
D1,1,TVS,SMBJ15A,SMB,Digi-Key,Input clamp 12V pack
D2,1,Schottky,SS14,SMA,Digi-Key,+5V_LOGIC -> RP2350-Zero 5V (USB back-feed block); pad1 K = RP_5V
D6,1,Zener 12V (Q1 gate clamp),BZT52C12-7-F,SOD-123,Digi-Key,VGS clamp S->G
D4,1,BAT54S,BAT54S,SOT-23,Digi-Key,ADC clamp on VBAT_SENSE (GPIO35); pin1 A->GND pin2 K->3V3 pin3 COM->sense
F1,1,Mini blade fuse holder + 10A ATM fuse,Keystone 3568 / 10A ATM,THT 9.9mm pitch,LCSC C5249699 / auto store,Board input (bucks + amp only; motors fed from the pack directly)
F3,1,Polyfuse 3A,MF-MSMF300,1812,Digi-Key,+5V_LED to slip ring
F4,1,Fuse 3A fast (amp 12V),0466003.NR,1206,Digi-Key,Littelfuse 466 series 32V
L1,1,Ferrite bead 600R@100MHz 2.9A,BLM31KN601SN1L,1206,LCSC C668306,Amp supply (PG variant is only 1.5 A)
C1,1,220uF 25V electrolytic,EEE-FK1E221P,SMD 8x10,Digi-Key,VIN
C2,1,470uF 10V,EEE-FK1A471P,SMD 8x10,Digi-Key,+5V_LOGIC
