Group,Refs,Part,MPN / description,Vendor,Vendor P/N,Qty per board,Order qty,Est unit USD,Est ext USD,Notes
LCSC basket - you solder (through-hole),J1,XT60 male vertical PCB,Amass XT60PB-M,LCSC,C19268037,1,6,0.36,2.16,Board power input; pack lead gets the XT60 FEMALE (see cables)
LCSC basket - you solder (through-hole),F1,Mini blade fuse clip,Keystone 3568,LCSC,C5249699,1,6,1.22,7.32,9.9 mm pitch; Global-Sourcing part at JLC - LCSC lead time may be longer
LCSC basket - you solder (through-hole),"J2,J3",Pin header 2x5 2.54 mm straight,CJT A2541WV-2x5P,LCSC,C225520,2,11,0.18,1.98,Motor driver ribbons; bare - mark pin 1
LCSC basket - you solder (through-hole),"J4,J5",Pin header 1x3 2.54 mm,BOOMELE 2.54-1*3P,LCSC,C49257,2,20,0.03,0.60,Servo plugs (LCSC MOQ 20)
LCSC basket - you solder (through-hole),J_AMP,Pin header 2x7 2.54 mm straight,CJT A2541WV-2x7P,LCSC,C5298387,1,6,0.32,1.92,MAX9744 module harness
LCSC basket - you solder (through-hole),"J6,J8",JST-XH 4-pin header,JST B4B-XH-A(LF)(SN),LCSC,C144395,2,11,0.08,0.88,IMU / dome encoder
LCSC basket - you solder (through-hole),J7,JST-XH 5-pin header,JST B5B-XH-A(LF)(SN),LCSC,C157991,1,6,0.09,0.54,S2S sensor (AS5600 or pot)
LCSC basket - you solder (through-hole),"J9,J10",JST-XH 3-pin header,JST B3B-XH-A(LF)(SN),LCSC,C144394,2,11,0.05,0.55,Hall / body NeoPixel
LCSC basket - you solder (through-hole),"J11,J15",JST-XH 2-pin header,JST B2B-XH-A(LF)(SN),LCSC,C158012,2,20,0.04,0.80,Slip ring / E-stop (LCSC MOQ 20)
LCSC basket - you solder (through-hole),"J13,J14",JST-VH 2-pin header 3.96 mm,JST B2P-VH(LF)(SN),LCSC,C160315,2,11,0.06,0.66,Speakers
LCSC basket - you solder (through-hole),"J_U1A,J_U1B",Female header 1x15 2.54 mm 8.5 mm,Ckmtw B-2200S15P-A120,LCSC,C124408,2,11,0.28,3.08,ESP32 DevKitC sockets (rows 25.4 mm apart)
LCSC basket - you solder (through-hole),"J_U2A,J_U2B",Female header 1x9 2.54 mm 8.5 mm,Ckmtw B-2200S09P-A120,LCSC,C124417,2,11,0.18,1.98,RP2350-Zero side sockets; ~430 in stock - if out cut a 1x15 (C124408) at position 10
LCSC basket - you solder (through-hole),J_U2C,Female header 1x5 2.54 mm,BOOMELE 2.54-1*5P,LCSC,C50950,1,6,0.09,0.54,RP2350-Zero end socket
LCSC basket - you solder (SMD easy),C1,220 uF 25 V SMD electrolytic 8x10,Panasonic EEE-FK1E221P,LCSC,C128511,1,6,0.33,1.98,VIN bulk; stripe = negative
LCSC basket - you solder (SMD easy),C2,470 uF 10 V SMD electrolytic 8x10,Panasonic EEE-FK1A471P,LCSC,C178530,1,6,0.35,2.10,+5V_LOGIC
LCSC basket - you solder (SMD easy),C3,1000 uF 10 V SMD electrolytic 10x10,Panasonic EEE-FK1A102P,LCSC,C278397,1,6,0.39,2.34,+5V_LED; ~335 at JLC/LCSC - any 10 mm 1000 uF 10 V can substitutes
LCSC basket - you solder (SMD easy),C4,470 uF 16 V SMD electrolytic 8x10,Panasonic EEE-FK1C471P,LCSC,C79121,1,6,0.44,2.64,+6V_SERVO
LCSC basket - you solder (SMD easy),C7,1000 uF 25 V low-ESR SMD electrolytic 10x10.2,Panasonic EEE-FT1E102UP,LCSC,C401766,1,6,0.81,4.86,Amp supply; keep 25 V / low ESR
LCSC basket - you solder (SMD easy),D1,TVS SMBJ15A (SMB),Littelfuse SMBJ15A,LCSC,C83846,1,6,0.13,0.78,Cathode band = pad 1 (toward the silk bar)
LCSC basket - you solder (SMD easy),D6,Zener 12 V SOD-123,BZT52C12,LCSC,C173429,1,6,0.01,0.06,Q1 gate clamp; K = pad 1 = VIN side
LCSC basket - you solder (SMD easy),F3,Polyfuse 3 A 1812,Littelfuse 1812L300,LCSC,C127824,1,6,0.13,0.78,+5V_LED to slip ring
LCSC basket - you solder (SMD easy),F4,Fuse 3 A 1206 fast,Littelfuse 0466003.NRHF,LCSC,C14165,1,6,0.09,0.54,Amp 12 V feed
LCSC basket - you solder (SMD easy),L1,Ferrite bead 600R 2.9 A 1206,Murata BLM31KN601SN1L,LCSC,C668306,1,6,0.38,2.28,Amp 12 V feed (NOT the 1.5 A PG variant)
Modules - customer-fitted (plug in / solder),U1,ESP32 DevKitC 30-pin (ELEGOO / DevKit V1),ESP-WROOM-32 30-pin CP2102,Amazon,B0D8T53CQ5,1,2,7,14,30-pin ONLY - the 38-pin is wider and will not fit the sockets; often sold as a 3-pack
Modules - customer-fitted (plug in / solder),U2,Waveshare RP2350-Zero,RP2350-Zero (with header pins),Amazon / Waveshare,B0DYTVCF2H,1,2,9,18,Solder header pins on ALL three edges incl. the 5-pin GP9-GP13 end
Modules - customer-fitted (plug in / solder),U3,DFPlayer Mini,DFRobot DFR0299,DFRobot / Amazon,DFR0299,1,2,6,12,Fits the 2x8 position; solder direct or on 2x 1x8 female headers you supply (see below)
Modules - customer-fitted (plug in / solder),U3 socket (optional),Female header 1x8 2.54 mm,any 8.5 mm 1x8 socket,LCSC / Amazon,-,2,4,0.15,0.60,Only if you want the DFPlayer removable
Modules - customer-fitted (plug in / solder),PS1,Pololu 5 V 5 A step-down,Pololu D24V50F5,Pololu,#2851,1,2,20,40,Ships with 1x5 male header strips - solder the straight one; EN left open
Modules - customer-fitted (plug in / solder),PS2,Pololu 6 V 2.5 A step-down,Pololu D24V25F6,Pololu,#2852,1,2,13,26,6.0 V suits HS-805BB and PDI-HV2060MG; do NOT buy D24V22F6 (different pin order) or a 7.x V part
Modules - customer-fitted (plug in / solder),AMP,MAX9744 20 W stereo class-D I2C amp module,Adafruit 1752,Adafruit / Digi-Key,1752,1,1,20,20,Off-board on a 14-way harness to J_AMP
Off-board sensors,IMU (J6),GY-BMI160 6-axis breakout,GY-BMI160 (I2C; CS/SA0 left open),Amazon / AliExpress,GY-BMI160,1,2,5,10,4-wire JST-XH cable: +5V GND SCL SDA; mount by its holes on the sled
Off-board sensors,S2S (J7),AS5600 magnetic encoder board + diametric magnet,AS5600 module (3.3 V) + 6x2.5 mm diametric magnet,Amazon / AliExpress,AS5600,1,2,4,8,Or keep the 10 k pot on pins 1-3
Off-board sensors,F1 fuse,Mini blade fuse 10 A LOW PROFILE,Littelfuse 997 series / Bussmann ATM-LP 10 A (or standard mini ATM 10 A if the cover has a window),auto parts / Amazon,10 A low-profile mini,1,5,1,5,Standard mini ATM stands ~16 mm - over the cover budget
Cables & housings,J1 mate,XT60 female pigtail 12 AWG,XT60-F with 10-15 cm silicone leads,Amazon,XT60 female pigtail,1,2,2,4,Pack lead; 20 A ATO holder stays at the pack
Cables & housings,"J6,J8",JST-XH 4-pin housing + contacts,JST XHP-4 + SXH-001T-P0.6,LCSC / Digi-Key,XHP-4,2,6,0.1,0.60,Or buy pre-crimped XH-4 pigtails (Amazon); the v9.15 IMU/encoder cables already fit
Cables & housings,J7,JST-XH 5-pin housing + contacts,JST XHP-5,LCSC / Digi-Key,XHP-5,1,3,0.1,0.30,
Cables & housings,"J9,J10",JST-XH 3-pin housing + contacts,JST XHP-3,LCSC / Digi-Key,XHP-3,2,6,0.1,0.60,
Cables & housings,"J11,J15",JST-XH 2-pin housing + contacts,JST XHP-2,LCSC / Digi-Key,XHP-2,2,6,0.1,0.60,
Cables & housings,XH contacts,JST-XH crimp contacts,JST SXH-001T-P0.6 (reel of 100),LCSC / Digi-Key,SXH-001T-P0.6,-,100,0.03,3,Covers all XH housings above; or pre-crimped XH cable kit (Amazon ~$10)
Cables & housings,"J13,J14",JST-VH 2-pin housing + contacts,JST VHR-2N + SVH-21T-P1.1,LCSC / Digi-Key,VHR-2N,2,6,0.15,0.90,Speaker leads
Cables & housings,"J2,J3",2x5 IDC socket + 10-way ribbon,2x5 IDC (2.54 mm) x2 per cable + 1.27 mm ribbon,Amazon / LCSC,2x5 IDC,2,6,0.5,3,Motor driver ribbons to the DFR0601 boards; mark pin 1 both ends
Cables & housings,J_AMP,2x7 IDC socket + 14-way ribbon (or Dupont 14-way),2x7 IDC (2.54 mm) + ribbon,Amazon / LCSC,2x7 IDC,1,3,0.6,1.80,Amp module harness
Cables & housings,J17,Qwiic / JST-SH 4-pin cable,SparkFun Qwiic cable 50-100 mm,SparkFun / Adafruit,PRT-14427,1,1,1.5,1.5,Only if you add an I2C device on the RP2350 bus
Cables & housings,"J4,J5",Servo extension leads (if needed),JR/Futaba 3-pin extension 150-300 mm,Amazon,servo extension,2,4,1,4,HS-805BB leads plug straight onto the 1x3 headers (signal = pin 1)
