Comment,Designator,Footprint,JLCPCB Part #
220uF 25V,C1,CP_Elec_8x10,C128511
470uF 10V,C2,CP_Elec_8x10,C178530
1000uF 10V,C3,CP_Elec_10x10,C278397
470uF 16V,C4,CP_Elec_8x10,C79121
10uF 50V X5R,"C5,C6",C_1206_3216Metric,C13585
1000uF 25V,C7,CP_Elec_10x10,C401766
100nF 50V X7R,"C8,C9,C10,C11,C12,C28,C29",C_0603_1608Metric,C14663
1uF 50V X5R,"C26,C27",C_0603_1608Metric,C15849
SMBJ15A,D1,D_SMB,C83846
SS14,D2,D_SMA,C2480
BAT54S,D4,SOT-23,C47546
BZT52C12,D6,D_SOD-123,C173429
Keystone 3568,F1,Fuse_Mini_Blade,C5249699
1812L300,F3,Fuse_1812_4532Metric,C127824
3A 1206 fuse,F4,Fuse_1206_3216Metric,C14165
XT60PB-M,J1,AMASS_XT60-M_1x02_P7.20mm_Vertical,C19268037
2.54mm 2x5,"J2,J3",PinHeader_2x05_P2.54mm_Vertical,C225520
2.54mm 1x3,"J4,J5",PinHeader_1x03_P2.54mm_Vertical,C49257
B4B-XH-A,"J6,J8",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,C144395
B5B-XH-A,J7,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,C157991
B3B-XH-A,"J9,J10",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,C144394
B2B-XH-A,"J11,J15",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C158012
B2P-VH,"J13,J14",JST_VH_B2P-VH_1x02_P3.96mm_Vertical,C160315
SM04B-SRSS-TB,J17,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404
2.54mm 2x7,J_AMP,PinHeader_2x07_P2.54mm_Vertical,C5298387
B-2200S15P-A120,"J_U1A,J_U1B",PinSocket_1x15_P2.54mm_Vertical,C124408
B-2200S09P-A120,"J_U2A,J_U2B",PinSocket_1x09_P2.54mm_Vertical,C124417
2.54-1*5P female,J_U2C,PinSocket_1x05_P2.54mm_Vertical,C50950
600Ω 2.9A,L1,L_1206_3216Metric,C668306
SI7461DP-T1-GE3,Q1,PowerPAK_SO-8_Single,C553968
1kΩ ±1%,"R1,R2",R_0603_1608Metric,C21190
330Ω ±1%,R3,R_0603_1608Metric,C23138
4.7kΩ ±1%,"R5,R6,R7,R8",R_0603_1608Metric,C23162
10kΩ ±1%,"R9,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R25,R28,R29,R30",R_0603_1608Metric,C25804
47kΩ ±1%,"R24,R33",R_0603_1608Metric,C25819
AMS1117-3.3,U5,SOT-223-3_TabPin2,C6186
SN74AHCT125PWR,U6,TSSOP-14_4.4x5mm_P0.65mm,C36365
74LVC245APW,U7,TSSOP-20_4.4x6.5mm_P0.65mm,C6082
