Ref,Val,Package,PosX,PosY,Rot,Side
"C1","220u/25V","CP_Elec_8x10",190.000000,-183.500000,0.000000,top
"C2","470u/10V","CP_Elec_8x10",118.000000,-175.000000,0.000000,top
"C3","1000u/10V","CP_Elec_10x10",124.000000,-124.250000,0.000000,top
"C4","470u/16V","CP_Elec_8x10",202.500000,-183.500000,0.000000,top
"C5","10u","C_1206_3216Metric",180.000000,-179.250000,0.000000,top
"C6","10u","C_1206_3216Metric",170.250000,-192.000000,0.000000,top
"C7","1000u/25V","CP_Elec_10x10",124.000000,-111.750000,0.000000,top
"C8","100n","C_0603_1608Metric",223.250000,-139.250000,0.000000,top
"C9","100n","C_0603_1608Metric",153.000000,-127.000000,0.000000,top
"C10","100n","C_0603_1608Metric",112.460000,-185.430000,0.000000,top
"C11","100n","C_0603_1608Metric",242.000000,-141.500000,0.000000,top
"C12","100n","C_0603_1608Metric",157.000000,-127.000000,0.000000,top
"C26","1u","C_0603_1608Metric",205.725000,-166.500000,0.000000,top
"C27","1u","C_0603_1608Metric",204.775000,-157.000000,0.000000,top
"C28","100n","C_0603_1608Metric",205.725000,-170.750000,0.000000,top
"C29","100n","C_0603_1608Metric",170.475000,-179.250000,0.000000,top
"D1","SMBJ15A","D_SMB",164.000000,-186.750000,0.000000,top
"D2","SS14","D_SMA",174.820000,-104.990000,0.000000,top
"D4","BAT54S","SOT-23",163.937500,-172.800000,0.000000,top
"D6","BZT52C12 12V zener","D_SOD-123",162.250000,-179.850000,90.000000,top
"F1","10A blade fuse","Fuse_Mini_Blade",149.000000,-191.500000,0.000000,top
"F3","3A polyfuse","Fuse_1812_4532Metric",114.250000,-118.250000,0.000000,top
"F4","3A fuse","Fuse_1206_3216Metric",194.500000,-112.000000,0.000000,top
"J1","XT60PB-M vertical","AMASS_XT60-M_1x02_P7.20mm_Vertical",128.050000,-189.750000,0.000000,top
"J2","DFR0601 ribbon 2x5","PinHeader_2x05_P2.54mm_Vertical",145.670000,-183.250000,90.000000,top
"J3","DFR0601 ribbon 2x5","PinHeader_2x05_P2.54mm_Vertical",145.590000,-175.000000,90.000000,top
"J4","Servo L","PinHeader_1x03_P2.54mm_Vertical",206.000000,-144.460000,0.000000,top
"J5","Servo R","PinHeader_1x03_P2.54mm_Vertical",211.500000,-144.460000,0.000000,top
"J6","IMU BMI160 I2C","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",206.750000,-128.975000,0.000000,top
"J7","S2S AS5600/pot","JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical",229.000000,-151.500000,0.000000,top
"J8","Dome encoder","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",229.000000,-143.000000,0.000000,top
"J9","Hall","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",207.000000,-137.475000,0.000000,top
"J10","Body NeoPixel","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",229.000000,-134.500000,0.000000,top
"J11","Slip ring (body lights)","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",238.540000,-164.000000,0.000000,top
"J13","SPK L","JST_VH_B2P-VH_1x02_P3.96mm_Vertical",154.742500,-108.950000,0.000000,top
"J14","SPK R","JST_VH_B2P-VH_1x02_P3.96mm_Vertical",164.242500,-108.950000,0.000000,top
"J15","ESTOP","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",228.750000,-125.975000,0.000000,top
"J17","I2C-B exp (RP2350)","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",207.550000,-120.375000,180.000000,top
"J_AMP","MAX9744 amp module hdr","PinHeader_2x07_P2.54mm_Vertical",166.290000,-118.460000,-90.000000,top
"J_U1A","ESP32 DevKitC socket L (1x15)","PinSocket_1x15_P2.54mm_Vertical",174.300000,-132.220000,0.000000,top
"J_U1B","ESP32 DevKitC socket R (1x15)","PinSocket_1x15_P2.54mm_Vertical",199.700000,-132.220000,0.000000,top
"J_U2A","RP2350-Zero socket L (1x9)","PinSocket_1x09_P2.54mm_Vertical",132.380000,-105.570000,0.000000,top
"J_U2B","RP2350-Zero socket R (1x9)","PinSocket_1x09_P2.54mm_Vertical",147.620000,-105.570000,0.000000,top
"J_U2C","RP2350-Zero socket end (1x5)","PinSocket_1x05_P2.54mm_Vertical",134.920000,-127.160000,90.000000,top
"L1","FB 600R 3A","L_1206_3216Metric",187.500000,-112.000000,0.000000,top
"PS1","Pololu D24V50F5 5V 5A","Pololu_D24V50F5",116.750000,-140.000000,-90.000000,top
"PS2","Pololu D24V25F6 6V 2.5A","Pololu_D24V25F6",115.500000,-159.250000,-90.000000,top
"Q1","Si7461DP P-FET RPP","PowerPAK_SO-8_Single",162.205000,-195.595000,0.000000,top
"R1","1k","R_0603_1608Metric",205.750000,-162.250000,0.000000,top
"R2","1k","R_0603_1608Metric",220.250000,-158.250000,90.000000,top
"R3","330R","R_0603_1608Metric",223.250000,-135.750000,0.000000,top
"R5","4.7k","R_0603_1608Metric",244.500000,-151.500000,0.000000,top
"R6","4.7k","R_0603_1608Metric",118.190000,-189.000000,0.000000,top
"R7","4.7k","R_0603_1608Metric",137.820000,-101.500000,0.000000,top
"R8","4.7k","R_0603_1608Metric",155.675000,-101.500000,0.000000,top
"R9","10k","R_0603_1608Metric",223.250000,-142.750000,0.000000,top
"R12","10k","R_0603_1608Metric",125.500000,-172.750000,0.000000,top
"R13","10k","R_0603_1608Metric",125.500000,-177.250000,0.000000,top
"R14","10k","R_0603_1608Metric",129.750000,-172.750000,0.000000,top
"R15","10k","R_0603_1608Metric",129.750000,-177.250000,0.000000,top
"R16","10k","R_0603_1608Metric",205.750000,-175.250000,0.000000,top
"R17","10k","R_0603_1608Metric",174.750000,-179.250000,0.000000,top
"R18","10k","R_0603_1608Metric",134.250000,-172.750000,0.000000,top
"R19","10k","R_0603_1608Metric",134.250000,-177.250000,0.000000,top
"R20","10k","R_0603_1608Metric",134.250000,-181.750000,0.000000,top
"R21","10k","R_0603_1608Metric",139.075000,-172.750000,0.000000,top
"R22","10k","R_0603_1608Metric",161.000000,-127.000000,0.000000,top
"R23","10k","R_0603_1608Metric",118.010000,-184.500000,0.000000,top
"R24","47k","R_0603_1608Metric",160.500000,-101.500000,0.000000,top
"R25","10k","R_0603_1608Metric",146.325000,-101.500000,0.000000,top
"R28","10k","R_0603_1608Metric",109.530000,-181.290000,0.000000,top
"R29","10k","R_0603_1608Metric",142.000000,-101.500000,0.000000,top
"R30","10k","R_0603_1608Metric",151.000000,-101.500000,0.000000,top
"R33","47k","R_0603_1608Metric",170.425000,-183.750000,0.000000,top
"U3","DFPlayer Mini","DFPlayer_2x8",220.000000,-172.500000,-90.000000,top
"U5","AP7361C-33 3.3V LDO","SOT-223-3_TabPin2",216.750000,-120.750000,0.000000,top
"U6","74AHCT125","TSSOP-14_4.4x5mm_P0.65mm",167.500000,-130.500000,0.000000,top
"U7","74LVC245A","TSSOP-20_4.4x6.5mm_P0.65mm",212.112500,-156.325000,0.000000,top
