Designator,Mid X,Mid Y,Layer,Rotation
C1,190.000mm,-183.500mm,Top,0.0
C2,118.000mm,-175.000mm,Top,0.0
C3,124.000mm,-124.250mm,Top,0.0
C4,202.500mm,-183.500mm,Top,0.0
C5,180.000mm,-179.250mm,Top,0.0
C6,170.250mm,-192.000mm,Top,0.0
C7,124.000mm,-111.750mm,Top,0.0
C8,223.250mm,-139.250mm,Top,0.0
C9,153.000mm,-127.000mm,Top,0.0
C10,112.460mm,-185.430mm,Top,0.0
C11,242.000mm,-141.500mm,Top,0.0
C12,157.000mm,-127.000mm,Top,0.0
C26,205.725mm,-166.500mm,Top,0.0
C27,204.775mm,-157.000mm,Top,0.0
C28,205.725mm,-170.750mm,Top,0.0
C29,170.475mm,-179.250mm,Top,0.0
D1,164.000mm,-186.750mm,Top,0.0
D2,174.820mm,-104.990mm,Top,0.0
D4,163.938mm,-172.800mm,Top,0.0
D6,162.250mm,-179.850mm,Top,90.0
F1,149.000mm,-191.500mm,Top,0.0
F3,114.250mm,-118.250mm,Top,0.0
F4,194.500mm,-112.000mm,Top,0.0
J1,131.650mm,-189.750mm,Top,0.0
J2,150.750mm,-181.975mm,Top,180.0
J3,150.670mm,-173.725mm,Top,180.0
J4,206.000mm,-147.000mm,Top,90.0
J5,211.500mm,-147.000mm,Top,90.0
J6,210.500mm,-129.500mm,Top,0.0
J7,234.000mm,-152.025mm,Top,0.0
J8,232.750mm,-143.525mm,Top,0.0
J9,209.500mm,-138.000mm,Top,0.0
J10,231.500mm,-135.025mm,Top,0.0
J11,239.790mm,-164.525mm,Top,0.0
J13,156.722mm,-109.500mm,Top,0.0
J14,166.222mm,-109.500mm,Top,0.0
J15,230.000mm,-126.500mm,Top,0.0
J17,207.550mm,-120.375mm,Top,180.0
J_AMP,158.670mm,-119.735mm,Top,0.0
J_U1A,174.300mm,-150.000mm,Top,90.0
J_U2A,132.380mm,-115.730mm,Top,90.0
J_U1B,199.700mm,-150.000mm,Top,90.0
J_U2B,147.620mm,-115.730mm,Top,90.0
J_U2C,140.000mm,-127.160mm,Top,180.0
L1,187.500mm,-112.000mm,Top,0.0
Q1,162.205mm,-195.595mm,Top,0.0
R1,205.750mm,-162.250mm,Top,0.0
R2,220.250mm,-158.250mm,Top,90.0
R3,223.250mm,-135.750mm,Top,0.0
R5,244.500mm,-151.500mm,Top,0.0
R6,118.190mm,-189.000mm,Top,0.0
R7,137.820mm,-101.500mm,Top,0.0
R8,155.675mm,-101.500mm,Top,0.0
R9,223.250mm,-142.750mm,Top,0.0
R12,125.500mm,-172.750mm,Top,0.0
R13,125.500mm,-177.250mm,Top,0.0
R14,129.750mm,-172.750mm,Top,0.0
R15,129.750mm,-177.250mm,Top,0.0
R16,205.750mm,-175.250mm,Top,0.0
R17,174.750mm,-179.250mm,Top,0.0
R18,134.250mm,-172.750mm,Top,0.0
R19,134.250mm,-177.250mm,Top,0.0
R20,134.250mm,-181.750mm,Top,0.0
R21,139.075mm,-172.750mm,Top,0.0
R22,161.000mm,-127.000mm,Top,0.0
R23,118.010mm,-184.500mm,Top,0.0
R24,160.500mm,-101.500mm,Top,0.0
R25,146.325mm,-101.500mm,Top,0.0
R28,109.530mm,-181.290mm,Top,0.0
R29,142.000mm,-101.500mm,Top,0.0
R30,151.000mm,-101.500mm,Top,0.0
R33,170.425mm,-183.750mm,Top,0.0
U5,216.750mm,-120.750mm,Top,0.0
U6,167.500mm,-130.500mm,Top,0.0
U7,212.113mm,-156.325mm,Top,0.0
