Comment,Designator,Footprint,JLCPCB Part #
10uF 50V X5R,"C5,C6",C_1206_3216Metric,C13585
100nF 50V X7R,"C8,C9,C10,C11,C12,C28,C29",C_0603_1608Metric,C14663
1uF 50V X5R,"C26,C27",C_0603_1608Metric,C15849
SS14,D2,D_SMA,C2480
BAT54S,D4,SOT-23,C47546
SM04B-SRSS-TB,J17,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404
SI7461DP-T1-GE3,Q1,PowerPAK_SO-8_Single,C553968
1kΩ ±1%,"R1,R2",R_0603_1608Metric,C21190
330Ω ±1%,R3,R_0603_1608Metric,C23138
4.7kΩ ±1%,"R5,R6,R7,R8",R_0603_1608Metric,C23162
10kΩ ±1%,"R9,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R25,R28,R29,R30",R_0603_1608Metric,C25804
47kΩ ±1%,"R24,R33",R_0603_1608Metric,C25819
AMS1117-3.3,U5,SOT-223-3_TabPin2,C6186
SN74AHCT125PWR,U6,TSSOP-14_4.4x5mm_P0.65mm,C36365
74LVC245APW,U7,TSSOP-20_4.4x6.5mm_P0.65mm,C6082
