Comment,Designator,Footprint,Mount,LCSC Part #,Qty per board,Qty for 5 boards (+10%)
220uF 25V,C1,CP_Elec_8x10,SMT,C128511,1,6
470uF 10V,C2,CP_Elec_8x10,SMT,C178530,1,6
1000uF 10V,C3,CP_Elec_10x10,SMT,C278397,1,6
470uF 16V,C4,CP_Elec_8x10,SMT,C79121,1,6
1000uF 25V,C7,CP_Elec_10x10,SMT,C401766,1,6
SMBJ15A,D1,D_SMB,SMT,C83846,1,6
BZT52C12,D6,D_SOD-123,SMT,C173429,1,6
Keystone 3568,F1,Fuse_Mini_Blade,THT,C5249699,1,6
1812L300,F3,Fuse_1812_4532Metric,SMT,C127824,1,6
3A 1206 fuse,F4,Fuse_1206_3216Metric,SMT,C14165,1,6
XT60PB-M,J1,AMASS_XT60-M_1x02_P7.20mm_Vertical,THT,C19268037,1,6
2.54mm 2x5,"J2,J3",PinHeader_2x05_P2.54mm_Vertical,THT,C225520,2,11
2.54mm 1x3,"J4,J5",PinHeader_1x03_P2.54mm_Vertical,THT,C49257,2,11
B4B-XH-A,"J6,J8",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,THT,C144395,2,11
B5B-XH-A,J7,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,THT,C157991,1,6
B3B-XH-A,"J9,J10",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,THT,C144394,2,11
B2B-XH-A,"J11,J15",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,THT,C158012,2,11
B2P-VH,"J13,J14",JST_VH_B2P-VH_1x02_P3.96mm_Vertical,THT,C160315,2,11
2.54mm 2x7,J_AMP,PinHeader_2x07_P2.54mm_Vertical,THT,C5298387,1,6
B-2200S15P-A120,"J_U1A,J_U1B",PinSocket_1x15_P2.54mm_Vertical,THT,C124408,2,11
B-2200S09P-A120,"J_U2A,J_U2B",PinSocket_1x09_P2.54mm_Vertical,THT,C124417,2,11
2.54-1*5P female,J_U2C,PinSocket_1x05_P2.54mm_Vertical,THT,C50950,1,6
600Ω 2.9A,L1,L_1206_3216Metric,SMT,C668306,1,6
